_id,mountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bc46335de51373d690b8313),,شرشف صغير,Bed Sheet Small,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46341de51373d690b831e),,فستان قطعتين,Dress 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4634cde51373d690b8329),,بيشت,Besht,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4635bde51373d690b8334),,بطانية كبيرة,Blanket Large,ObjectId(5e386580356b5248ec89b129),
ObjectId(5bc4635cde51373d690b833f),,فستان,Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4636dde51373d690b834a),,بطانية كبيرة,Blanket Large,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc4637bde51373d690b8355),,بطانية صغيرة,Blanket Small,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46381de51373d690b8360),,فستان مسائية,Evening Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4639cde51373d690b836b),,بلوزة,Blouse,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4639dde51373d690b8376),,فروة,Farwah,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc463a7de51373d690b8381),,بطانية صغيرة,Blanket Small,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc463bfde51373d690b838c),,بلوزة,Blouse,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc463c3de51373d690b8397),,غترة,Ghutra,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc463d9de51373d690b83a2),,طاقية,Cap,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc463dcde51373d690b83ad),,طاقية,Cap,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc463dede51373d690b83b8),,جاكيت,Jacket,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc463fade51373d690b83c3),,بالطو,Lab Coat,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc463fbde51373d690b83ce),,سجاد صيني,China-Carpet,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46402de51373d690b83d9),,سجاد صيني,China-Carpet,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46414de51373d690b83e4),,جاكيت نسائي,Lady Jacket,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4641dde51373d690b83ef),,لحاف كبير,Comforter Large,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46424de51373d690b83fa),,لحاف كبير,Comforter Large,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46436de51373d690b8405),,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46439de51373d690b8410),,لحاف صغير,Comforter Small,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46454de51373d690b841b),,جاكيت جلد صناعي,Leather Jacket,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46454de51373d690b8426),,لحاف صغير,Comforter Small,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46459de51373d690b8431),,لحاف مزخرف,Comforter Special,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46472de51373d690b843c),,بدلة عسكرية,Military Suit,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46473de51373d690b8447),,ستائر,Curtain,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc46482de51373d690b8452),,لحاف مزخرف,Comforter Special,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc4648fde51373d690b845d),,كرافيتة,Nick Tie,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46495de51373d690b8468),,فستان قطعتين,Dress 2 pcs,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464a8de51373d690b8473),,قميص نوم,Night Gown ,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464aede51373d690b847e),,فستان,Dress,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464b5de51373d690b8489),,ستائر,Curtain,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc464cade51373d690b8494),,قميص نوم قطعتين,Night Gown 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464cede51373d690b849f),,فستان مسائية,Evening Dress,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464e9de51373d690b84aa),,فروة,Farwah,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc464e9de51373d690b84b5),,فستان قطعتين,Dress 2 pcs,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc464fbde51373d690b84c0),,اوفر كوت,Over Coat,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46501de51373d690b84cb),,غترة,Ghutra,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4651ade51373d690b84d6),,جاكيت,Jacket,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46526de51373d690b84e1),,بيجاما قطعتين,Pajama 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46536de51373d690b84ec),,كوت," Coat",ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46538de51373d690b84f7),,فستان,Dress,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46547de51373d690b8502),,بدلة باكستاني,Pakistani Dress Starch,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4655cde51373d690b850d),,جاكيت نسائي,Lady Jacket,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46565de51373d690b8518),,بدلة باكستاني,Pakistani Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4657ade51373d690b8523),,فستان مسائية,Evening Dress,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46588de51373d690b852e),,وجة مخدة كبير,Pillow case large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc4659bde51373d690b8539),,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465a2de51373d690b8544),,مخدة,Pillow,ObjectId(5bc45d22de51373d690b8226),
ObjectId(5bc465a3de51373d690b854f),,فروة,Farwah,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465c1de51373d690b855a),,جاكيت جلد صناعي,Leather Jacket,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465cfde51373d690b8565),,غترة,Ghutra,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc465d1de51373d690b8570),,تنورة تكسير,Plate Skirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc465e6de51373d690b857b),,بدلة عسكرية,Military Suit,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc465f2de51373d690b8586),,جاكيت,Jacket,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc465fade51373d690b8591),,سجاد عادي,Regular Carpet,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc4660ade51373d690b859c),,كرافيتة,Nick Tie,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46614de51373d690b85a7),,طرحة,Scarf,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46621de51373d690b85b2),,بالطو,Lab Coat,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46624de51373d690b85bd),,قميص نوم,Night Gown ,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4662cde51373d690b85c8),,شماغ,Shemag,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4663cde51373d690b85d3),,قميص نوم قطعتين,Night Gown 2 pcs,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46648de51373d690b85de),,ستائر شيفون,Shere Curtain,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc46654de51373d690b85e9),,اوفر كوت,Over Coat,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4665fde51373d690b85f4),,قميص نشأ,Shirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4665fde51373d690b85ff),,جاكيت نسائي,Lady Jacket,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4667ade51373d690b860a),,قميص نشا,Shirt,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc4667bde51373d690b8615),,بيجاما قطعتين,Pajama 2 pcs,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46693de51373d690b8620),,جاكيت جلد طبيعي,Leather Jacket Normal,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4669ade51373d690b862b),,بدلة باكستاني,Pakistani Dress Starch,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc466b0de51373d690b8636),,بنطلون نصف شورت,Short,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc466b5de51373d690b8641),,بدلة باكستاني,Pakistani Dress,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc466d0de51373d690b864c),,وجة مخدة,Pillow Case,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc466d8de51373d690b8657),,جاكيت جلد صناعي,Leather Jacket,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc466dbde51373d690b8662),,سجاد حرير,Silk Carpet,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc466e7de51373d690b866d),,مخدة,Pillow,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc466f9de51373d690b8678),,فستان حرير,Silk Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc46708de51373d690b8683),,بدلة عسكرية,Military Suit,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc46717de51373d690b868e),,بيجاما حرير,Silk Pajama,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
