_id,amountPerItem,itemNameAr,itemName,serviceId,categoryId
ObjectId(5bc46146de51373d690b8242),3,شرشف صغير,Bed Sheet Small,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46163de51373d690b824d),15.5,بشت,Besht,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46183de51373d690b8258),25,بطانية كبيرة,Blanket Large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc461a3de51373d690b8263),15,عباية,Abaya,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc461b7de51373d690b826e),18,بطانية صغيرة,Blanket Small,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc461d3de51373d690b8279),5.5,بلوزة,Blouse,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc461dcde51373d690b8284),14,روب حمام,Bath Robe,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc461dfde51373d690b828f),15.5,عباية,Abaya,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc461ecde51373d690b829a),1,طاقية,Cap,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc029febc479a701d6c7544)
ObjectId(5bc461f8de51373d690b82a5),8.5,روب حمام,Bath Robe,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ab6bc479a701d6c7547)
ObjectId(5bc46206de51373d690b82b0),7,شرشف كبير,Bed Sheet Large,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc4620ade51373d690b82bb),20,سجاد صيني,China-Carpet,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b44bc479a701d6c754b)
ObjectId(5bc46246de51373d690b82c6),20,لحاف كبير,Comforter Large,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46270de51373d690b82d1),18,لحاف صغير,Comforter Small,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc462f1de51373d690b82dc),30,لحاف مزخرف,Comforter Special,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc4630dde51373d690b82e7),5,شرشف صغير,Bed Sheet Small,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46317de51373d690b82f2),10,شرشف كبير,Bed Sheet Large,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc4631fde51373d690b82fd),15,ستائر,Curtain,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02b16bc479a701d6c754a)
ObjectId(5bc4632ede51373d690b8308),50,بيشت,Besht,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc46335de51373d690b8313),8,شرشف صغير,Bed Sheet Small,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02af1bc479a701d6c7549)
ObjectId(5bc46341de51373d690b831e),18,فستان قطعتين,Dress 2 pcs,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4634cde51373d690b8329),25,بيشت,Besht,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02b60bc479a701d6c754c)
ObjectId(5bc4635bde51373d690b8334),25,بطانية كبيرة,Blanket Large,ObjectId(5e386580356b5248ec89b129),
ObjectId(5bc4635cde51373d690b833f),7,فستان,Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4636dde51373d690b834a),21,بطانية كبيرة,Blanket Large,ObjectId(5bc45e35de51373d690b8228),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc4637bde51373d690b8355),15,بطانية صغيرة,Blanket Small,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02ad2bc479a701d6c7548)
ObjectId(5bc46381de51373d690b8360),30,فستان مسائية,Evening Dress,ObjectId(5bc45d22de51373d690b8226),ObjectId(5cc02a1fbc479a701d6c7545)
ObjectId(5bc4639cde51373d690b836b),7,بلوزة,Blouse,ObjectId(5e386580356b5248ec89b129),ObjectId(5cc02a1fbc479a701d6c7545)
